Title,Rating,Year published,Game Description
Bad Blood,6/10,1990,"Bad Blood is a top-down action-adventure. You can not create your own character but have to pick one of the three predefined ones: Varrigg (a strong green mutant who fights with his bare hands), Dekker (a human male armed with a knife) or Jakka (who looks human but fires laser beams from her eyes). The choice you make has only a limited impact on gameplay and storyline."
Batman,7/10,1990,"a horizontally scrolling beat 'em up arcade game released by Atari Games, Midway Games, Data East and Namco in 1990 in North America,"
Battle Master,8/10,1990,"a 1990 fantasy action adventure game designed by Mike Simpson and Simon Jones, Battle Master is a squad-based action-adventure game viewed from a top-down isometric perspective."
Battle Pingpong,7/10,1990,"In Battle Ping Pong the player can battle against ten AI enemies in a table tennis game. Those opponents represent ten countries which are humorously depicted, e.g. the USA athlete wears a cowboy hat. The goal of a single-player game is to beat all of them. Regarding gameplay, the player only has to hit the ball with the correct timing and can perform a few basic moves. The game is played in a first-person perspective: only the table tennis racket is visible."
Blood Bros.,5/10,1990," a 1990 arcade game developed and published by TAD Corporation in Japan and Europe, and later published in North America by Fabtek. In Blood Bros., two blood brothers, a cowboy and an Indian, team up to hunt down ""the most wanted outlaw in Dodge City,"" Big Bad John"
Cadaver ,8/10,1990,"In the original Cadaver, Karadoc, who is a gold-hungry dwarf and really just hopes to find a treasure, is on a mission to seek out and kill the necromancer Dianos, the sole remaining inhabitant of Castle Wulf."
California Games II,3/10,1990,The object of the game is to score as many points as possible by performing stunts and surviving the event. Each event has different play mechanics and physics as well.
Carlos Sainz: World Rally Championship,8/10,1990," a 1990 racing video game co-developed by the Spanish companies Zigurat Software (previously known as Made in Spain) and Arcadia Software. Carlos Sainz: World Rally Championship is a top-down rally racing game reminiscent of Paris-Dakar (1988), where players observe from above and race as Spanish rally driver Carlos Sainz driving the Toyota Celica Turbo 4WD across locations conforming the World Rally Championship such as Portugal, Acropolis, 1000 Lakes, San Remo, Cataluña and RAC by participating in increasingly difficult two-lap races to obtain the best time record possible and qualify for the next course to win the championship"
Chew Man Fu,7/10,1990,"The single-screen levels are inhabited by enemies, who can be killed by the firing of one of the balls. When a ball hits an enemy, it will continue moving in the same direction, intervening walls, and pushing the player backwards slightly. Balls can also be pushed forwards or pulled backwards, including around corners. Once a ball is placed onto its pad, it can be still be moved. Also included is a small bonus Kick-Ball game for two players, which doubles as practice with the control system."
Chess Simulator,7/10,1990,The board can be viewed in 2D or 3D perspective. The game includes a mode where the player's Elo rating is determined after solving 24 chess puzzles.
Code Name: Viper,6/10,1990,"he gameplay system is similar to Namco's 1986 arcade game Rolling Thunder, specifically its own NES version. Like in Rolling Thunder, the player can jump or drop down between floors by holding the directional pad up or down and pressing the jump button, as well as enter doors to obtain power-ups or avoid enemies. The player can be armed with one of two weapons (a standard issue pistol or a fully automatic machine gun for continuous firepower). Items includes additional ammunition for either weapon, extra health, a time extension, and extra lives"
Daedalian Opus,7/10,1990,"The game is essentially a series of 36 jigsaw puzzles with pentominos that must be assembled into a specific shape. The puzzles start off with rectangular shapes and simple solutions, but the puzzles quickly grow more complex, with odder shapes like a rocket ship, a gun, and even enlarged versions of some of the pentominoes themselves. Each level is timed, and once the timer is started it cannot be stopped until the level is finished. One starts off the game with only three pentomino pieces, and at the completion of each early level, a new piece is awarded to the player. At the final level, the player is given the 2x2 square O tetromino and must complete an 8x8 square puzzle."
DarkSpyre,7/10,1990,"The gods of War, Magic, and Intellect created the Darkspyre to find a champion to overcome the final challenge of mankind. The player must locate the five runes of power within Darkspyre to master the tests and prevent the destruction of the world."
Darwin's Dilemma,6/10,1990," a puzzle game in which the goal is to match creatures together. After enough matches the creatures will ""evolve"" into new ones, and these new creatures must be again matched so they can evolve, and so on."
Death Race,8/10,1990,"Death Race is set in eight American cities, which the player visits in succession: San Diego, California; Phoenix, Arizona; Denver, Colorado; Houston, Texas; New Orleans, Louisiana; Chicago, Illinois; Raleigh, North Carolina; and New York, New York.

In each city, the player drives an armored sports car equipped with surface-to-air missiles and rapid-fire guns. Player performance is measured by the number of kills. The player may use money earned in the game to upgrade the car's engine, tires, chassis, guns, and missiles. Level completion requires capturing one to four flags, and then passing through the exit. The game has four difficulty levels: Rookie, Amateur, Professional, and World Class. To complete the game, the player must play through all cities twice at the ""World Class"" difficulty setting."
Deep Dungeon,4/10,1990,"Deep Dungeon is a role Playing Game by HummingBird Soft. Humanity and forces of evil have been fighting for centuries. One day, a courageous and strong swordsman went to confront, alone, this evil spirit. The devil, nearly defeated, had to run away and hide underground with his army. Time passed, and most people simply forgot about their existence. Then one day, they slowly came out of their hideout and kidnapped the king's daughter. A swordsman is sent by the king to rescue the princess, armed with the legendary sword and shield that defeated evil once.."
Devil's Crush,7/10,1990,"The playfield of Devil's Crush consists of a free scrolling pinball table three screens high. There are three pairs of flippers. The player can nudge/bump the table to influence the ball's path. Using the tilt button too much will result in the game ""tilting"" and the flippers will stop working, causing a lost ball. There are many targets to shoot for and hidden bonus rooms."
Die Hard,6/10,1990,"There are 40 terrorists scattered throughout the building, and John McClane's task is to clear each floor of terrorists, and using the stairwell or the express elevator to travel between floors 31 and 35 (with more floors being unlocked in ""Advanced"" mode)."
Dizzy Panic,3/10,1990,"a puzzle video game published in 1990 by Codemasters for the Amstrad CPC, ZX Spectrum, Commodore 64, Master System, and Game Gear"
Dragon Fighter,7/10,1990,The player takes control of a magical human fighter who has the ability to transform himself into a flying dragon
Dragon Lord,8/10,1990,"A fantasy-themed strategy game, players control one of three dragon lords competing to find the (game-winning) talisman.This goal is achieved by raising dragons, empowering them via alchemy, and then sending them to conquer towns."
Dragon Quest IV,8/10,1990,"Dragon Quest IV offered several new features over the first three titles, while carrying on many of those introduced in the previous games. Similar features included are the day and night cycles, the ability to travel via ship and a flying vehicle (this time, a hot air balloon), and the three levels of keys. They are Thief, Magic and Ultimate (originally localized as Final). There are also travel doors, which allow the party to move a great distance on the world map with little travel. Unlike the Hero in Dragon Warrior III, the Hero of Dragon Quest IV is not required to be in the party at all once the wagon becomes available. Despite this, the Hero is again the character that possesses the most powerful healing and attack spells. Many spells, weapons, armor, and shops (including the vault/bank) function the same as in past games."
DuckTales: The Quest for Gold,8/10,1990,The game starts as Flintheart Glomgold walks into Scrooge McDuck's office and challenges him to see who is the richest duck in the world
"Dynowarz: Destruction of Spondylus",6/10,1990,"There are two modes of gameplay. The player controls either Professor Proteus in his battlesuit, or Cyborasaurus, a truly devastating Robosaur. Capsules that Robosaurs drop can help to keep these two entities alive. Capsules labeled ""E"" will fully replenish the player's energy. Capsules labeled ""B"" give the player a full barrier meter. Any damage taken will deplete the barrier meter before affecting the energy meter."
Earth Shaker,6/10,1990,"Earth Shaker is a puzzle game that was originally released for the ZX Spectrum in 1990, and was written by Michael Batty. Michael kindly gave us permission to release this version for the Xbox 360, which contains all his original levels, graphics and music, and has been extended to incorporate a level designer and replay feature."
Elemental Master,9/10,1990,"The game is autoscrolling upwards. The player can choose to either shoot up or down. There are different weapons (types of magic) available, based on (naturally) the elements. Of the seven levels the game has, the player can choose the order of the first four."
Escape from Hell,4/10,1990,"The game is played from a top-down perspective. The player controls the protagonist Richard and can recruit up to two party members and gain a variety of items in the inventory. Combat is turn-based. Various tridents can be found that change the landscape of Hell, such as modifying the terrain or reducing the technology level so that firearms are ineffective."
F-Zero,8/10,1990,"F-Zero is a futuristic racing game where players compete in a high-speed racing tournament called ""F-Zero"". There are four F-Zero characters. Each has their own selectable hovercar, and each hovercar has its own unique performance abilities."
Final Fantasy III,8/10,1990,"The gameplay of Final Fantasy III combines elements of the first two Final Fantasy games with new features. The turn-based combat system remains in place from the first two games, but hit points are now shown above the target following attacks or healing actions, rather than captioned as in the previous two games. Auto-targeting for physical attacks after a friendly or enemy unit is killed is also featured for the first time. Unlike subsequent games in the series, magical attacks are not auto-targeted in the same fashion."
Flood ,8/10,1990,"Quiffy must collect all of the various pieces of litter on the level and then find the exit to complete each level. In general the litter is not particularly hidden, it is just distributed around the level. Quiffy can climb on most walls and ceilings, and swim through water. He has energy which depletes upon touching dangerous objects, but can also die instantly when touching any of the few lethal objects. Although he can swim and has the appearance of an amphibious life-form, he can only breathe above water and will start to drown if he runs out of air."
Galactic Crusader,9/10,1990,"The game is a top-down perspective shooter, often compared to the popular space shooter Galaga. The player progresses through numerous stages, using missiles and lasers to shoot oncoming enemies. One notable difference from Galaga is Galactic Crusader's many bosses which the player confronts at the end of each level, which often take many hits to defeat."
Ghostbusters,8/10,1990,"Ghostbusters is a platform shoot 'em up with side-scrolling gameplay, The game's story involves ghosts terrorizing a city after an earthquake, The game features a choice of three playable Ghostbuster characters from the films: Peter Venkman, Ray Stantz, and Egon Spengler."
Godzilla,5/10,1990,"The game is a 2D side-scrolling video game where Godzilla can only walk around or climb ladders, vines or crystals. A prominent part of the game is his punch, the only attack he has, which is used to destroy boulders, and to kill or push enemies. The main point of each room is to destroy all of the boulders, by pushing them against a wall and hitting it again. Once all of the boulders are gone, one or two arrow panels will appear somewhere in the room. Touching one will take Godzilla to the room in a large map corresponding to its direction. As levels are completed, the direction is revealed on the map for further use."
Go! Go! Tank,7/10,1990,This video game was developed for the Game Boy handheld game console. The game's narrative is as follows: A peaceful nation has been invaded by an enemy army.
Gremlins 2: The New Batch,8/10,1990,"In the NES game, the player controls Gizmo through various levels in the building, armed with weapons ranging from the genetically modified super tomato in the laboratory to the new matchstick-firing bow in the later sections. The goal of the game is to reach the Gremlin Control Center to wipe out all Gremlins inside. The Game Boy version was a side-scroller also featuring Gizmo."
Gun Frontier,5/10,1990,"Gun Frontier is a space Western-themed vertically scrolling shoot 'em up game. Players assume the role of planetary settlers who formed part in the colonization team of planet Gloria taking control of revolver-shaped fighter aircraft through six stages, in a last-ditch effort to defeat the Wild Lizards and free their surviving people from enslavement by the space pirates."
Hammerfist,8/10,1990,"The player controls either the male Hammerfist or the female Metalisis; as they occupy the same body, the player can transform from one to the other at any time in order to utilize their distinct skills. Hammerfist is a more powerful combatant, able to sustain more damage and fire energy bolts from his fists, while Metalisis is able to cartwheel (or 'flick-flack') over obstacles and gaps between platforms. Each room consists of a series of challenges, primarily computer screens which must be smashed and enemies which must be destroyed, before they are able to progress to the next room. Virtually all rooms require both characters to be used in order to complete them."
Harlem Globetrotters,6/10,1990,"Unlike most other basketball video games, there is only an exhibition mode in this game where the player can play as either the Harlem Globetrotters or their long-time rivals, the Washington Generals. The player can even pull down the referee's pants or trip the ref when a free throw has been called when playing as the Harlem Globetrotters."
Horror Zombies from the Crypt,6/10,1990,"This game is inspired by 1950s horror movies. The player assumes the role of a Count Frederick Valdemar and enters a mansion full of ghastly creatures such as grim reapers, vampires, zombies and mummies.These creatures will attempt to stop the Count as he ventures through 6 levels in search for skulls. All skulls must be collected before the player may exit the level. Before each level there is an introductory screen which explains the goal of the level."
Hyperball,9/10,1990,"Hyperball follows the Breakout gameplay of a controllable bat used to keep a bouncing ball on screen and destroying blocks. When blocks are hit, an assortment of capsules occasionally drop. These include an infrared view which allowed the player to see otherwise ""invisible"" blocks, a laser cannon, a ball detonator which splits the ball into eight separate balls and a diamond cutter which allows the ball to travel through anything. An alien also sometimes falls, with detrimental effects including biting a hole in the bat, magnetizing the bat (making control difficult) or speeding up the ball."
The Immortal,8/10,1990,"The wizard Mordamir calls for help from deep below the labyrinth, attempting to communicate with a man named Dunric. The player, an elderly wizard, instead discovers the message and takes on the quest to rescue Mordamir–his mentor and master. While descending the levels of the labyrinth, a race of Goblins and trolls at war are encountered, and the goblins allies with the player after sparing their king. The player also encounters many other hostile creatures within the labyrinth, including invisible Shades, Will-o'-the-wisp, flesh-eating slime, flying lizards, giant man-eating worms, a giant spider and a water Norlac. The player is assisted along the way by the warrior Ulindor, Mordamir's servant and body guard. As well as a mysterious merchant selling helpful potions and magical items."
Infestation ,7/10,1990,"The Alpha 2 research colony on Xelos has been invaded by aliens, wiping out the crew and laying 167 of their eggs, all waiting to hatch into a lethal alien infestation. Superhero Kal Solar is the only one who can prevent a catastrophe, and that's where you come in."
"
Ishido: The Way of Stones",7/10,1990,"Ishido is a puzzle board game consisting of a set of 72 stones and a game board of 96 squares.

Every stone has two attributes: a color and a symbol. There are six colors and six symbols in each stone set, thus creating 36 unique stones. Since each stone comes in a pair, there are therefore 72 stones in each stone set."
"J.R.R. Tolkien's The Lord of the Rings, Vol. I",8/10,1990,"The game is a role-playing game (RPG) in which the player, after an opening cinematic, takes control of Frodo Baggins just outside Bag End. From here, the player gradually ""recruits"" various members of the Fellowship, and while the game can be completed by following the novel for the most part, many side-quests also exist to entertain the player. The game world was quite large and featured a cast of characters from both the text and outside of it; character interaction is carried out through ""questioning"" other characters by typing keywords in a box. The player can swap whoever leads the ""fellowship"", equip other party members with a range of weapons and armour, distribute skills among the group, cast spells, and perform various skill-based actions. While following a somewhat linear plot, gameplay is quite open and players can revisit old areas and, potentially, discover new situations and characters, creating a fairly dynamic game world. The game also includes a day/night cycle, in which enemies such as the Nazgûl make more frequent appearance outside of daylight hours, and other enemies receive strength bonuses in the dark."
Jackie Chan's Action Kung Fu,9/10,1990,"The player controls Jackie Chan, the well-known martial arts stunt master, and brawls against many enemies during his quest to save his sister. The game is played through five levels (each with a boss at the end)."
John Madden Football ,9/10,1990,"The game includes various field conditions and audibles. The console versions use passwords for saves. It is played from above and behind the quarterback rather than from the side as most games of the time. As in the previous version, no actual NFL teams are included due to the lack of NFL or NFLPA licenses for authentic teams or player names."
Kid Dracula,6/10,1990,"The story of Kid Dracula is relatively simple: the self-proclaimed Demon King, Kid Dracula, has awoken from a long sleep, only to discover that the dinosaur Galamoth has challenged him. Swiping his father's cape, it's then up to Kid Dracula himself to set out on a journey to destroy the monster and retake his throne."
King's Bounty,9/10,1990,"The player leads the hero and his army across the four continents, acquiring up to 25 pieces of a map revealing the hidden location to the Sceptre of Order before King Maximus dies. Various details of this task are left to player's discretion, allowing for flexible gameplay. For instance, not all the scattered map sections are required; if the player is able to correctly determine the location of the sceptre's burial spot before acquiring all 25 map pieces, the game is won. If the sceptre is not recovered before King Maximus dies (the time varies depending on difficulty setting), the game ends in defeat. The location of the sceptre, the artifacts and which castles the villains inhabit are all randomized each game, adding to its replayability."
King's Quest V,6/10,1990,"In the introduction to the game, a view of Castle Daventry is shown, when suddenly, a mysterious cloaked figure appears. He enchants the castle, causing a whirlwind to appear, which soon engulfs the castle and lifts it out of sight. Because he is out walking when this happens, King Graham is the only member of the royal family to be left behind. He returns to the castle to find that it has disappeared, and is soon confronted by a talking owl named Cedric."
Lagoon,5/10,1990,"Lakeland is a prosperous country full of many people and their families. All was great until something bad happened. It seems that Lakeland is having a bit of a water problem: Muddy Water. An evil being known as Zerah has polluted all of Lakeland's rivers and lakes, making people very sick, and some dying. He does this in hopes to release the Evil Spirit, which is hiding underneath Lagoon Castle, so Zerah lifts Lagoon Castle into the clouds to where no one can reach it. With all this, Lakeland needs a hero."
League Bowling,7/10,1990,an arcade game released in 1990 by SNK for the Neo Geo console and arcade systems. The players controls characters with red and blue hair and can select balls from 8 to 15 pounds. It is the only bowling game released on the Neo Geo.
The Legend of William Tell,5/10,1990,The Legend of William Tell is a game in which the player is William Tell traveling through the English countryside and into the fortress of Austrian tyrant Gessler.
Mad Dog McCree,3/10,1990,"In a series of stages, the player must shoot enemies before they fire, avoid shooting innocent bystanders, and reload each time their six-round revolver is depleted of bullets. Shooting a bystander or getting hit by a gunfighter results in the loss of one life out of three and is followed by a clip showing the town doctor commenting on the player's actions."
Nail 'n' Scale,6/10,1990,"In Nail 'n' Scale, the player controls Spike, a skilled climber. The player works the way through levels of heightening difficulty. In each level, the player uses climbing spikes to navigate through the level to the door at the end of each level. The climbing spikes are also used to break bricks that block the path. There are 51 levels in all, with a boss on every tenth level."
Nemesis ,5/10,1990,"Nemesis retains the basic power-up meter commonly used in most Gradius games, but with the addition of multi-level missiles not present in the original Gradius.

The game consists of only five stages, each with a unique core boss. Although it is also possible to access hidden bonus stages in which the player may collect 1-ups and score bonus cells. Like other Game Boy titles developed by Konami, the game presents the player with a stage selection screen before starting."
Ninja Gaiden,8/10,1990,"Ninja Gaiden is a side-scrolling action game in which the player controls a trainee ninja that must enter the sacred silent city in his quest to destroy the darkness and restore order. The ninja can jump, punch, kick and use weapons. The enemy opponents come in the form of: masked ninja, lumberjack ninja, clawed warrior, dark lord, black ninja, sumo wrestler and white ninja. The final boss is known as the dark lord who uses razor-sharp sabres. The game is on a timer where the player has 99 seconds to complete each level. If the player fails to complete the level in that time the player loses a life. There are a number of power-ups and treasures in the game from extra time to swords. There is also a scoring system of points for each enemy killed"
Nintendo World Cup,7/10,1990,"Eight students known as Atsushi, Genei, Hiroshi, Kunio, Masa, Masahiro, Susumu and Takashi compete in a soccer tournament against 13 other high schools."
Operation Stealth,8/10,1990,"Operation Stealth mainly features a point-and-click style of gameplay reminiscent of many of the LucasArts adventures of the time, as well as a number of more action-oriented elements, including an overhead viewed maze section and a scene in which Glames/Bond attempts to escape from an underwater cavern before he runs out of oxygen."
Popeye,5/10,1990,"The scenario is a maze and the player controls Popeye who has a time limit to collect some hearts, find Olive Oyl and save Swee'Pea which only appears somewhere to be saved after the hearts were collected and Olive found."
A Prehistoric Tale,7/10,1990,The game has both puzzle and platformer elements to it. It has 80 levels and can either be played single player or simultaneous two-player.
The Punisher,9/10,1990,"The player controls the Punisher from an over-the-shoulder third-person perspective through various New York City locations, shooting thugs and battling supervillains Hitman, Jigsaw, Colonel Kliegg, Sijo Kanaka, and Assassin as bosses. The final boss is the Kingpin. Power-ups can be obtained by shooting them and include extra ammunition, a med kit, Kevlar, a bazooka, a machine gun, and grenades."
Raiden ,6/10,1990,"Raiden is a vertically scrolling shoot 'em up game consisting of eight stages of increasing difficulty. In each stage, the player maneuvers the Fighting Thunder craft, engaging various enemies and avoiding their attacks. In cooperative play, both players can generate special projectiles that damage enemies by shooting the other player craft. After completing the eighth and final stage, the player returns to the first stage with the difficulty increased."
Riding Hero,4/10,1990,"Riding Hero is a racing game that uses a behind-the-motorcycle perspective similar to Super Hang-On and Suzuka 8 Hours featuring a Grand Prix mode, a role-playing single-player campaign mode reminiscent of Final Lap Twin, as well as a multiplayer mode like most other racing titles released in the era. In the grand prix mode, players compete against AI-controlled racers on a worldwide Grand Prix tour in order to become the champion, while up to two human players can compete on versus matches in the multiplayer mode by connecting two Neo Geo systems via LAN. Every race in the game is timed and if the players fails regain time by completing a lap, the game is over unless the player inserts more credits into the arcade machine to continue playing. If a memory card is present, players are allowed to save their progress during the single-player campaign at the protagonist's home and resume the last point the game was saved at."
The Secret of Monkey Island,8/10,1990,"The Secret of Monkey Island is a 2D adventure game played from a third-person perspective. Via a point-and-click interface, the player guides protagonist Guybrush Threepwood through the game's world and interacts with the environment by selecting from twelve verb commands (nine in newer versions) such as ""talk to"" for communicating with characters and ""pick up"" for collecting items between commands and the world's objects in order to successfully solve puzzles and thus progress in the game. While conversing with other characters, the player may choose between topics for discussion that are listed in a dialog tree; the game is one of the first to incorporate such a system. The in-game action is frequently interrupted by cutscenes. Like other LucasArts adventure games, The Secret of Monkey Island features a design philosophy that makes the player character's death nearly impossible (Guybrush does drown if he stays underwater for more than ten minutes)."
Sentinel ,1/10,1990,"The player takes control of a scientist piloting a glowing orb they invented named the Sentinel, which can absorb and store energy. When aliens invade Earth, the scientist journeys in the Sentinel to four alien planets – Alptaurus, Ceruptus, Vulnavium, and Asceptron – to destroy their power stations, each guarded by an alien lord Upon destroying these four worlds, the scientist encounters the entity who controlled the alien lords and defeats it."
Shadow of the Beast II,2/10,1990,"Shadow of the Beast II finds the hero Aarbron in half-beast form, wandering the lands of Karamoon in search of his kidnapped sister. She had been taken away from her mother's cottage by the dragon-form of the Beast Mage, Zelek, servant to Maletoth. Along the way, Aarbron befriends the wise dragon Barloom and must defeat the evil dragon Ishran. Tree Pygmies in the forest and the goblins in the Crystal Caverns serve as foes."
Skate or Die 2: The Search for Double Trouble,5/10,1990,"Skate or Die 2 is a side scrolling game, though the player can return to previously visited areas. The hero has a variety of skateboarding moves and weapons at his disposal, the controls for which can be programmed by the player. The hero's primary weapon is his paintball gun, though he can also throw eggs and firecrackers at his opponents. The game also has a bartering system. During the journey the hero can pick up CDs, cassette tapes, French fries, and tacos. These items can be traded with Rodney and Lester for new tricks and skateboards."
Skateball,7/10,1990,A Skateball match is played by two teams on an ice court with steel walls and ball. There are several different courts with holes and other lethal obstacles. The game lacks any rules and any kind of contact is allowed.
Snoopy's Magic Show,6/10,1990,"The player controls Snoopy who has to save four Woodstocks, within a fixed amount of time, by dodging bouncing balls, pushing blocks, using warp zones and power-ups. There are 120 levels with a unique password to access each. In the multiplayer mode, one player is Spike while the other is Snoopy."
The Spy Who Loved Me,7/10,1990,"The Spy Who Loved Me is a top-down shooter game in which the player navigates James Bond driving Wet Nellie, a modified Lotus Esprit. It features the characters from the film and some new characters."
Steel Gunner,7/10,1990,"Steel Gunner is a light gun shooter video game. The plot stars the police officers Garcia and Cliff, who are members of the Neo Arc police force that use mecha suits named ""Gargoyles"" equipped with powerful weapons. Garcia and Cliff are assigned by the Neo Arc to destroy the terrorist organization STURM, who have captured the scientist Dr. Ryan and his assistant Dr. Ellis to create a world-ending superweapon. Gameplay revolves around using a light gun to control a crosshair around the screen while shooting enemies Players have infinite ammunition and do not need to reload their weapons. Players also have access to a limited number of screen-clearing missiles."
Stellar 7,10/10,1990,"The player's tank, the Raven, has a front-facing cannon with an unlimited supply of bullets. The cannon can fire up to two shots at a time. The tank also has a cloaking device that, when triggered, would render it invisible to enemies for about a minute. Gauges on the right side of the screen indicate the amount of shields and power remaining. The tank starts with enough power to cloak twice, and power slowly trickles away as the time passes. The game ends when either shields or power runs out."
Strider II,6/10,1990,"The objective of the game is to rescue the Princess of Planet Magenta from a terrorist group that is keeping her captive. The controls in the computer version are similar to U.S. Gold's home computer ports of the original Strider, although the character cannot slide nor climb ceilings like in the original game. However, he can still climb walls, as well as ropes. In addition to his cypher, he can also use a rifle whenever he is standing still. If the player character has collected enough energy icons throughout each stage, he will transform into a wheeled robot when confronting the boss at the end of each stage. As a robot, Strider can shoot lasers, but cannot jump nor crouch. His robot form has a separate health gauge from his regular health gauge as a human. When his robot gauge runs out, he will transform back to a human. The game consists of five stages."
Super Buster Bros,7/10,1990,"The object of the game is to use a gun to pop bubbles that bounce around the screen. There are two different modes: Panic mode and Arcade mode. Similarly to Asteroids, when a player pops a bubble, it splits into two smaller bubbles. Sufficiently small bubbles simply vaporize when popped. Occasionally, monsters walk or fly on to the screen. When the player character touches the bubble or the timer reaches zero, they die. Monsters can also pop bubbles. Although the arcade game and the PlayStation version included in Buster Bros. Collection allow two players to play simultaneously, the Super NES version only has one player mode. Powerups are found by popping certain bubbles, shooting boxes, or shooting certain unmarked spots in the level. The gun power-ups cannot be used in conjunction with each other."
